City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Biak,ID,76.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
413,Palu,ID,76.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
415,Kalmunai,LK,78.55,clear sky,7.4167,81.8167,VS Villa
416,Manacapuru,BR,82.98,broken clouds,-3.2997,-60.6206,Novo Hotel
419,Cabano,PH,76.98,broken clouds,10.5869,122.7002,The Clara Beach and Guest House (official)
421,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
426,La Union,PE,82.08,scattered clouds,-5.4,-80.75,Los Portales
428,Tagusao,PH,78.53,overcast clouds,9.1924,117.8141,Toledo
430,Itarema,BR,84.85,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
431,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
435,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
436,Cabo San Lucas,MX,84.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
437,Meulaboh,ID,76.28,broken clouds,4.1363,96.1285,Kost Pria
440,Marsh Harbour,BS,75.7,clear sky,26.5412,-77.0636,Abaco Beach Resort
444,Champerico,GT,94.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
446,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
448,Porteirinha,BR,79.84,scattered clouds,-15.7433,-43.0283,Portal Palace Hotel
453,Rafaela,AR,89.06,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
455,Odienne,CI,83.44,scattered clouds,9.51,-7.5692,Oustaz Vame DIAKITE
457,Saint-Leu,RE,77.86,few clouds,-21.15,55.2833,La Caz Oceane
459,Acarau,BR,85.41,overcast clouds,-2.8856,-40.12,castelo pizzaria
463,Timbiqui,CO,77.63,light rain,2.7717,-77.6654,hotel diana
465,Viedma,AR,76.59,broken clouds,-40.8135,-62.9967,Hotel Cristal
