City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Esil,KZ,2021-11-24 18:47:14,51.9556,66.4042,15.17,95,100,7.14
113,Boende,CD,2021-11-24 18:47:15,-0.2167,20.8667,76.59,75,96,1.12
114,Sangar,RU,2021-11-24 18:47:15,63.9242,127.4739,-20.29,96,100,0.83
115,Rockland,US,2021-11-24 18:47:16,41.1668,-74.0496,46.22,43,0,1.99
116,Chokurdakh,RU,2021-11-24 18:47:16,70.6333,147.9167,-13.97,99,98,6.49
117,Avarua,CK,2021-11-24 18:47:17,-21.2078,-159.775,77.05,73,75,4.61
118,Sao Jose Da Coroa Grande,BR,2021-11-24 18:47:17,-8.8978,-35.1478,82.81,67,1,11.81
119,Tymovskoye,RU,2021-11-24 18:47:17,50.8456,142.655,26.19,97,100,3.04
120,Labuhan,ID,2021-11-24 18:47:18,-6.8844,112.2051,79.52,82,100,7.31
121,Waikuku,NZ,2021-11-24 18:47:18,-43.3,172.6833,60.03,93,100,4.29
122,Mitu,CO,2021-11-24 18:47:19,1.1983,-70.1733,84.94,67,53,2.04
123,Santa Cruz,BO,2021-11-24 18:44:03,-17.8,-63.1667,82.45,69,75,8.05
124,Linqing,CN,2021-11-24 18:47:19,36.8456,115.7117,41.77,42,0,1.72
125,Taormina,IT,2021-11-24 18:47:20,37.8536,15.2885,61.29,86,98,7.36
126,Bethel,US,2021-11-24 18:47:20,41.3712,-73.414,43.99,43,1,1.99
127,Sattahip,TH,2021-11-24 18:47:20,12.6664,100.9007,83.91,83,40,6.91
128,Paramonga,PE,2021-11-24 18:47:21,-10.6667,-77.8333,70.27,76,100,10.45
129,Raikot,IN,2021-11-24 18:47:22,30.65,75.6,61.16,32,0,6.91
130,Esperance,AU,2021-11-24 18:47:22,-33.8667,121.9,57.04,81,13,2.24
131,Ancud,CL,2021-11-24 18:47:23,-41.8697,-73.8203,68.43,83,77,11.83
132,Faanui,PF,2021-11-24 18:47:23,-16.4833,-151.75,80.53,74,10,6.46
133,Asyut,EG,2021-11-24 18:47:23,27.181,31.1837,66.38,42,6,6.96
134,Beringovskiy,RU,2021-11-24 18:47:24,63.05,179.3167,-3.96,82,100,5.7
135,Taksimo,RU,2021-11-24 18:47:24,56.3444,114.8794,-14.62,90,16,0.51
136,Alappuzha,IN,2021-11-24 18:47:25,9.49,76.3264,77.13,78,100,3.8
137,Fortuna,US,2021-11-24 18:47:25,40.5982,-124.1573,54.93,73,1,3.0
138,Richards Bay,ZA,2021-11-24 18:48:26,-28.783,32.0377,67.33,60,100,12.44
139,Taua,BR,2021-11-24 18:48:26,-5.9667,-40.3,95.52,26,64,8.84
140,Nabire,ID,2021-11-24 18:48:26,-3.3667,135.4833,75.22,91,99,2.48
141,Mount Gambier,AU,2021-11-24 18:47:02,-37.8333,140.7667,53.51,87,40,8.05
142,Bathsheba,BB,2021-11-24 18:48:27,13.2167,-59.5167,86.61,70,75,14.97
143,Port Alfred,ZA,2021-11-24 18:48:27,-33.5906,26.891,62.29,73,92,11.05
144,Nishihara,JP,2021-11-24 18:48:28,26.1842,127.7558,61.88,63,75,4.61
145,Severo-Kurilsk,RU,2021-11-24 18:48:28,50.6789,156.125,38.12,98,100,17.54
146,Northam,GB,2021-11-24 18:48:28,51.0333,-4.2167,46.62,89,100,2.33
147,Pangnirtung,CA,2021-11-24 18:48:29,66.1451,-65.7125,19.4,73,90,4.61
148,Saskylakh,RU,2021-11-24 18:48:29,71.9167,114.0833,-14.37,93,81,10.47
149,Yar-Sale,RU,2021-11-24 18:48:30,66.8333,70.8333,2.68,96,100,3.18
150,Nanortalik,GL,2021-11-24 18:48:30,60.1432,-45.2371,38.98,96,100,15.86
151,Altoona,US,2021-11-24 18:48:30,40.5187,-78.3947,46.31,49,91,4.43
152,Longyan,CN,2021-11-24 18:48:31,25.1072,117.0225,50.63,69,58,2.91
153,Cape Town,ZA,2021-11-24 18:48:32,-33.9258,18.4232,68.41,46,0,24.16
154,South Yarmouth,US,2021-11-24 18:48:32,41.6668,-70.1847,44.74,51,1,8.99
155,Abu Dhabi,AE,2021-11-24 18:47:34,24.4667,54.3667,78.96,67,0,9.22
156,Nemuro,JP,2021-11-24 18:48:33,43.3236,145.575,39.7,56,100,15.12
157,Arraial Do Cabo,BR,2021-11-24 18:48:33,-22.9661,-42.0278,78.76,73,0,8.05
158,Tasiilaq,GL,2021-11-24 18:48:33,65.6145,-37.6368,26.76,90,100,4.83
159,Saint-Augustin,CA,2021-11-24 18:48:34,51.226,-58.6502,45.23,98,100,13.56
160,Pushkinskiye Gory,RU,2021-11-24 18:48:34,57.0209,28.9103,36.3,92,100,7.63
161,Hasaki,JP,2021-11-24 18:48:35,35.7333,140.8333,37.69,41,0,5.59
162,Isangel,VU,2021-11-24 18:48:35,-19.55,169.2667,75.31,94,90,0.0
163,Mundo Nuevo,MX,2021-11-24 18:45:16,18.7,-95.5,77.68,72,0,2.64
164,Uvarovka,RU,2021-11-24 18:48:35,55.5278,35.6061,33.22,96,100,13.71
165,Codrington,AU,2021-11-24 18:48:27,-38.2667,141.9667,54.95,94,27,8.14
166,Lavrentiya,RU,2021-11-24 18:48:36,65.5833,-171.0,-4.45,91,42,8.3
167,Saint-Philippe,RE,2021-11-24 18:48:37,-21.3585,55.7679,78.39,79,10,9.75
168,Rafaela,AR,2021-11-24 18:48:38,-31.2503,-61.4867,94.98,19,0,10.0
169,Yulara,AU,2021-11-24 18:48:38,-25.2406,130.9889,60.64,72,0,9.22
170,Ponta Do Sol,PT,2021-11-24 18:48:39,32.6667,-17.1,66.7,65,71,9.55
171,Tupik,RU,2021-11-24 18:48:39,54.4253,119.9327,-0.89,90,100,1.1
172,Igarka,RU,2021-11-24 18:48:39,67.4667,86.5833,8.96,95,100,10.04
173,Broome,US,2021-11-24 18:48:40,42.2506,-75.833,45.63,56,1,1.99
174,Yurino,RU,2021-11-24 18:48:40,56.2942,46.3039,20.52,94,100,14.56
175,Port Elizabeth,ZA,2021-11-24 18:48:01,-33.918,25.5701,61.09,77,20,5.75
176,Sola,VU,2021-11-24 18:48:41,-13.8833,167.55,79.47,83,90,4.61
177,Alice Springs,AU,2021-11-24 18:48:41,-23.7,133.8833,58.55,88,0,8.05
178,Uvalde,US,2021-11-24 18:48:42,29.3669,-99.767,73.53,68,90,12.66
179,Shingu,JP,2021-11-24 18:48:42,33.7333,135.9833,46.51,76,4,6.15
180,Sayyan,YE,2021-11-24 18:48:43,15.1718,44.3244,54.63,27,85,5.12
181,Rawson,AR,2021-11-24 18:48:43,-43.3002,-65.1023,75.16,41,23,11.48
182,Pedasi,PA,2021-11-24 18:48:43,7.5333,-80.0333,78.76,80,100,7.34
183,Praia,CV,2021-11-24 18:48:44,14.9215,-23.5087,84.74,45,0,8.05
184,Kendari,ID,2021-11-24 18:48:44,-3.945,122.4989,75.9,94,100,3.51
185,Jining,CN,2021-11-24 18:49:45,35.405,116.5814,40.93,51,0,4.32
186,Denia,ES,2021-11-24 18:49:45,38.8408,0.1057,52.75,55,8,7.0
187,Akyab,MM,2021-11-24 18:49:46,20.15,92.9,76.1,66,7,5.88
188,Touros,BR,2021-11-24 18:49:46,-5.1989,-35.4608,86.9,68,11,15.03
189,Henties Bay,NA,2021-11-24 18:49:46,-22.116,14.2845,60.85,84,82,5.37
190,Tura,IN,2021-11-24 18:49:47,25.5198,90.2201,59.27,65,0,3.29
