City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Camapua,BR,-19.5314,-54.0439,91.24,38,5,4.29,clear sky
156,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,21.85,broken clouds
157,Waingapu,ID,-9.6567,120.2641,80.89,77,100,8.19,light rain
158,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,57,75,10.36,broken clouds
159,Bengkulu,ID,-3.8004,102.2655,75.74,91,100,10.2,moderate rain
160,Merauke,ID,-8.4667,140.3333,80.46,84,100,7.23,overcast clouds
161,Nouadhibou,MR,20.931,-17.0347,67.98,68,0,12.66,clear sky
162,Norman Wells,CA,65.282,-126.8329,-39.96,67,20,4.61,few clouds
163,Costa Rica,BR,-23.4167,-54.65,93.49,29,16,0.49,few clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,1,3.44,clear sky
165,Faanui,PF,-16.4833,-151.75,81.28,69,15,16.17,few clouds
166,Kristiansund,NO,63.1115,7.732,34.45,69,90,9.22,overcast clouds
167,Rumonge,BI,-3.9736,29.4386,73.04,76,91,5.66,overcast clouds
168,Arman,RU,59.7,150.1667,-3.8,96,100,6.53,overcast clouds
169,Tchollire,CM,8.4022,14.1698,84.09,29,63,2.33,broken clouds
170,Longhua,CN,23.6137,114.1919,47.79,47,1,2.55,clear sky
171,Majur,RS,44.7697,19.6544,39.42,79,100,4.81,overcast clouds
172,Pincher Creek,CA,49.4833,-113.952,26.29,91,90,4.61,light snow
173,Arlit,NE,18.7369,7.3853,75.45,13,14,11.23,few clouds
174,Svetlyy,RU,54.675,20.1347,33.85,89,84,7.83,broken clouds
175,Atlantis,ZA,-33.5667,18.4834,67.35,79,100,4.88,light rain
176,Grand Gaube,MU,-20.0064,57.6608,79.38,71,27,5.01,light rain
177,Vanavara,RU,60.34,102.2797,19.44,90,100,14.32,light snow
178,Llanes,ES,43.4198,-4.7549,52.9,79,88,21.88,overcast clouds
179,Challans,FR,46.8436,-1.8749,48.11,71,99,21.97,overcast clouds
180,Antofagasta,CL,-23.65,-70.4,72.21,58,10,10.45,clear sky
181,Codrington,AU,-38.2667,141.9667,43.29,86,24,5.08,few clouds
182,Roseburg,US,43.2165,-123.3417,59.49,87,90,3.44,overcast clouds
183,Isangel,VU,-19.55,169.2667,78.3,83,100,8.46,overcast clouds
184,Ambilobe,MG,-13.2,49.05,78.94,70,1,6.33,clear sky
185,Charters Towers,AU,-20.1,146.2667,74.25,80,0,3.91,clear sky
186,Tiksi,RU,71.6872,128.8694,-21.68,98,100,3.11,overcast clouds
187,Port Hedland,AU,-20.3167,118.5667,84.25,51,23,10.36,few clouds
188,Kwinana,AU,-32.25,115.7667,72.23,68,0,9.82,clear sky
189,Ukiah,US,39.1502,-123.2078,68.05,87,90,0.0,mist
190,Bandarbeyla,SO,9.4942,50.8122,77.56,68,4,19.77,clear sky
191,Port Lincoln,AU,-34.7333,135.8667,57.72,78,100,11.48,overcast clouds
192,Oksfjord,NO,70.2396,22.3479,18.52,83,5,8.81,clear sky
193,Edmonton,CA,53.5501,-113.4687,19.56,69,1,1.01,clear sky
194,Poco Verde,BR,-10.7083,-38.1833,88.3,41,100,11.99,light rain
195,Hornepayne,CA,49.2138,-84.7705,15.37,77,100,8.48,overcast clouds
196,Miraflores,MX,19.2167,-98.8083,69.03,22,0,4.25,clear sky
197,Campbell River,CA,50.0163,-125.2446,38.44,98,40,2.3,scattered clouds
198,Chester-Le-Street,GB,54.8586,-1.5741,39.38,91,98,3.0,light rain
